,id,country,affiliation,draft,title,submission_date,wg,docid
66,104198,,Old Dog Consulting,draft-ietf-pce-inter-layer-req-15,PCC-PCE Communication and PCE Discovery Requirements for Inter-Layer Traffic Engineering,2011-12-01,pce,RFC6457
67,104198,UK,Old Dog Consulting,draft-ietf-pce-hierarchy-fwk-05,The Application of the Path Computation Element Architecture to the Determination of a Sequence of Domains in MPLS and GMPLS,2012-11-01,pce,RFC6805
68,109558,UK,Old Dog Consulting,draft-ietf-pce-hierarchy-fwk-05,The Application of the Path Computation Element Architecture to the Determination of a Sequence of Domains in MPLS and GMPLS,2012-11-01,pce,RFC6805
69,106502,Italy,Ericsson,draft-ietf-pce-gmpls-aps-req-09,Requirements for GMPLS Applications of PCE,2013-09-01,pce,RFC7025
70,108894,P.R. China,Huawei,draft-ietf-pce-gmpls-aps-req-09,Requirements for GMPLS Applications of PCE,2013-09-01,pce,RFC7025
71,106803,Japan,KDDI,draft-ietf-pce-gmpls-aps-req-09,Requirements for GMPLS Applications of PCE,2013-09-01,pce,RFC7025
72,108431,Japan,KDDI,draft-ietf-pce-gmpls-aps-req-09,Requirements for GMPLS Applications of PCE,2013-09-01,pce,RFC7025
73,110920,Germany,Coriant R&D GmbH,draft-ietf-pce-gmpls-aps-req-09,Requirements for GMPLS Applications of PCE,2013-09-01,pce,RFC7025
74,108894,,Huawei,draft-ietf-pce-vendor-constraints-11,Conveying Vendor-Specific Constraints in the Path Computation Element Communication Protocol,2014-03-01,pce,RFC7150
75,104198,,Juniper Networks,draft-ietf-pce-vendor-constraints-11,Conveying Vendor-Specific Constraints in the Path Computation Element Communication Protocol,2014-03-01,pce,RFC7150
76,108881,US,Huawei,draft-ietf-pce-pcep-inter-domain-p2mp-procedures-08,PCE-Based Computation Procedure to Compute Shortest Constrained Point-to-Multipoint (P2MP) Inter-Domain Traffic Engineering Label Switched Paths,2014-08-01,pce,RFC7334
77,111477,India,Huawei,draft-ietf-pce-pcep-inter-domain-p2mp-procedures-08,PCE-Based Computation Procedure to Compute Shortest Constrained Point-to-Multipoint (P2MP) Inter-Domain Traffic Engineering Label Switched Paths,2014-08-01,pce,RFC7334
